Gene1,Gene2,TCGA-BR-6852-01A-11R-1884-13,TCGA-BR-8487-01A-11R-2402-13,TCGA-D7-8573-01A-11R-2343-13,TCGA-BR-A4QI-01A-12R-A251-31,TCGA-HU-A4GT-01A-21R-A251-31,TCGA-F1-A72C-01A-21R-A33Y-31,TCGA-BR-8365-01A-21R-2343-13,TCGA-VQ-A8E3-01A-11R-A39E-31,TCGA-BR-6801-01A-11R-1884-13,TCGA-BR-6707-01A-11R-1884-13,TCGA-MX-A663-01A-11R-A31P-31,TCGA-CD-A489-01A-11R-A24K-31,TCGA-BR-A44T-01A-32R-A24K-31,TCGA-BR-6454-01A-11R-1802-13,TCGA-BR-6803-01A-11R-1884-13,TCGA-HU-8604-01A-11R-2402-13,TCGA-CD-A486-01A-11R-A24K-31,TCGA-BR-A4J6-01A-11R-A251-31,TCGA-IN-AB1X-01A-11R-A39E-31,TCGA-VQ-A8P5-01A-11R-A39E-31,TCGA-MX-A666-01A-11R-A31P-31,TCGA-BR-6453-01A-11R-1802-13,TCGA-CD-A4MG-01A-11R-A251-31,TCGA-BR-8366-01A-11R-2343-13,TCGA-BR-7715-01A-11R-2055-13,TCGA-HU-A4GP-01A-11R-A251-31,TCGA-CD-A4MH-01A-11R-A251-31,TCGA-BR-6452-01A-12R-1802-13,TCGA-BR-6457-01A-21R-1802-13,TCGA-HF-7131-01A-11R-2055-13,TCGA-BR-6566-01A-11R-1802-13,TCGA-FP-8099-01A-11R-2343-13,TCGA-FP-A4BE-01A-12R-A24K-31,TCGA-HU-A4GF-01A-11R-A24K-31,TCGA-IN-A6RN-01A-12R-A33Y-31,TCGA-BR-A4J9-01A-12R-A251-31,TCGA-HU-A4GN-01A-11R-A251-31,TCGA-CD-A48A-01A-12R-A36D-31,TCGA-VQ-AA6G-01A-11R-A414-31,TCGA-BR-7851-01A-11R-2203-13,TCGA-BR-8295-01A-11R-2343-13,TCGA-D7-8579-01A-11R-2343-13,TCGA-HU-A4G8-01A-11R-A251-31,TCGA-D7-8572-01A-11R-2343-13,TCGA-D7-6815-01A-11R-1884-13,TCGA-D7-6820-01A-11R-1884-13,TCGA-IN-8663-01A-11R-2402-13,TCGA-BR-A4IY-01A-11R-A251-31,TCGA-BR-8381-01A-11R-2402-13,TCGA-VQ-A94U-01A-12R-A414-31,TCGA-BR-8081-01A-11R-2343-13,TCGA-CD-A48C-01A-11R-A24K-31,TCGA-D7-A4YV-01A-11R-A251-31,TCGA-VQ-AA6F-01A-31R-A414-31,TCGA-HU-A4HB-01A-12R-A251-31,TCGA-BR-6455-01A-11R-1802-13,TCGA-KB-A93H-01A-11R-A39E-31,TCGA-BR-8588-01A-11R-2402-13,TCGA-BR-7901-01A-11R-2203-13,TCGA-D7-A4Z0-01A-22R-A251-31,TCGA-BR-6563-01A-13R-2055-13,TCGA-VQ-A8P8-01A-11R-A39E-31,TCGA-IN-7806-01A-11R-2055-13,TCGA-B7-A5TN-01A-21R-A31P-31,TCGA-CD-A487-01A-21R-A24K-31,TCGA-HU-A4H4-01A-21R-A251-31,TCGA-IN-8462-01A-11R-2343-13,TCGA-HU-A4GU-01A-11R-A251-31,TCGA-D7-A6EV-01A-11R-A31P-31,TCGA-BR-A4J7-01A-31R-A251-31,TCGA-BR-6456-01A-11R-1802-13,TCGA-HU-A4G3-01A-11R-A24K-31,TCGA-BR-7716-01A-21R-2055-13,TCGA-BR-7722-01A-31R-2203-13,TCGA-D7-A4YX-01A-11R-A251-31,TCGA-IN-A7NT-01A-21R-A354-31,TCGA-HU-A4GD-01A-11R-A36D-31,TCGA-BR-6565-01A-11R-1802-13,TCGA-BR-A4PD-01A-11R-A251-31,TCGA-D7-A747-01A-22R-A33Y-31,TCGA-HU-8602-01A-11R-2402-13,TCGA-BR-6458-01A-11R-1802-13,TCGA-FP-8211-01A-11R-2343-13,TCGA-B7-5816-01A-21R-1602-13,TCGA-CG-4475-01A-01R-1157-13,TCGA-B7-A5TJ-01A-11R-A31P-31,TCGA-BR-8060-01A-11R-2343-13,TCGA-BR-8682-01A-11R-2402-13,TCGA-EQ-8122-01A-11R-2343-13,TCGA-BR-8078-01A-11R-2343-13,TCGA-HU-A4G2-01A-11R-A251-31,TCGA-BR-8291-01A-11R-2343-13,TCGA-BR-A4J2-01A-21R-A251-31,TCGA-FP-7829-01A-11R-2055-13,TCGA-VQ-A8PO-01A-11R-A414-31,TCGA-BR-A4J1-01A-11R-A251-31,TCGA-BR-6564-01A-12R-1884-13,TCGA-D7-6526-01A-11R-1802-13,TCGA-MX-A5UJ-01A-11R-A31P-31,TCGA-D7-5578-01A-01R-1602-13,TCGA-VQ-A923-01A-11R-A414-31,TCGA-BR-6802-01A-11R-1884-13,TCGA-BR-4255-01A-01R-1131-13,TCGA-MX-A5UG-01A-21R-A31P-31,TCGA-CD-8528-01A-11R-2343-13,TCGA-RD-A7BS-01A-11R-A32D-31,TCGA-BR-A4IU-01A-22R-A251-31,TCGA-D7-6520-01A-11R-1802-13,TCGA-CD-8526-01A-11R-2343-13,TCGA-R5-A7ZE-01B-11R-A354-31,TCGA-D7-A6EX-01A-11R-A31P-31,TCGA-VQ-A91V-01A-11R-A414-31,TCGA-CD-5801-01A-11R-1602-13,TCGA-BR-A452-01A-91R-A251-31,TCGA-VQ-A8DU-01A-11R-A36D-31,TCGA-VQ-A91K-01A-11R-A414-31,TCGA-VQ-A8PC-01A-11R-A39E-31,TCGA-CD-8535-01A-11R-2343-13,TCGA-HU-8249-01A-11R-A36D-31,TCGA-D7-6818-01A-11R-1884-13,TCGA-SW-A7EB-01A-11R-A354-31,TCGA-HF-7136-01A-11R-2055-13,TCGA-D7-A6EZ-01A-11R-A31P-31,TCGA-B7-A5TK-01A-12R-A36D-31,TCGA-FP-8631-01A-11R-2402-13,TCGA-BR-4253-01A-01R-1131-13,TCGA-VQ-A91U-01A-11R-A414-31,TCGA-FP-8210-01A-11R-2343-13,TCGA-RD-A8N5-01A-12R-A36D-31,TCGA-VQ-A91W-01A-11R-A414-31,TCGA-D7-6525-01A-11R-1802-13,TCGA-CD-8531-01A-11R-2343-13,TCGA-VQ-A8E0-01A-11R-A414-31,TCGA-VQ-AA6D-01A-11R-A414-31,TCGA-BR-6706-01A-11R-1884-13,TCGA-VQ-AA69-01A-11R-A414-31,TCGA-D7-8575-01A-11R-2343-13,TCGA-D7-A4YT-01A-11R-A251-31,TCGA-HU-A4HD-01A-11R-A251-31,TCGA-VQ-A925-01A-11R-A414-31,TCGA-D7-6518-01A-11R-1802-13,TCGA-D7-6817-01A-11R-1884-13,TCGA-D7-5577-01A-01R-1602-13,TCGA-CD-A4MI-01A-21R-A251-31,TCGA-BR-8373-01A-11R-2343-13,TCGA-HU-A4GY-01A-21R-A24K-31,TCGA-VQ-A8P3-01A-11R-A36D-31,TCGA-BR-8484-01A-11R-2402-13,TCGA-BR-A4QM-01A-12R-A251-31,TCGA-CG-4444-01A-01R-1157-13,TCGA-VQ-A91Z-01A-11R-A414-31,TCGA-D7-8574-01A-13R-2343-13,TCGA-BR-A4J5-01A-21R-A251-31,TCGA-RD-A8N6-01A-11R-A36D-31,TCGA-BR-8483-01A-31R-2402-13,TCGA-RD-A8N4-01A-21R-A36D-31,TCGA-CD-8525-01A-11R-2343-13,TCGA-HU-A4H6-01A-11R-A251-31,TCGA-CG-4441-01A-01R-1802-13,TCGA-D7-A74A-01A-11R-A32D-31,TCGA-VQ-A8P2-01A-11R-A36D-31,TCGA-BR-4361-01A-01R-1157-13,TCGA-VQ-A8PU-01A-12R-A414-31,TCGA-CG-5734-01A-11R-1602-13,TCGA-RD-A8NB-01A-12R-A39E-31,TCGA-FP-A4BF-01A-12R-A36D-31,TCGA-BR-7959-01A-11R-2343-13,TCGA-BR-A4J4-01A-12R-A251-31,TCGA-BR-A4IZ-01A-32R-A251-31,TCGA-VQ-A91E-01A-31R-A414-31,TCGA-HU-A4GC-01A-12R-A251-31,TCGA-VQ-A8PE-01A-11R-A414-31,TCGA-BR-8690-01A-11R-2402-13,TCGA-EQ-A4SO-01A-11R-A251-31,TCGA-VQ-A91A-01A-11R-A414-31,TCGA-BR-8676-01A-11R-2402-13,TCGA-BR-7723-01A-11R-2055-13,TCGA-BR-8683-01A-11R-2402-13,TCGA-BR-8589-01A-11R-2402-13,TCGA-VQ-A94T-01A-11R-A414-31,TCGA-VQ-A8PH-01A-12R-A414-31,TCGA-BR-A4IV-01A-31R-A251-31,TCGA-VQ-AA6B-01A-11R-A414-31,TCGA-BR-7958-01A-21R-2343-13,TCGA-D7-A4YU-01A-21R-A251-31,TCGA-VQ-A8PK-01A-12R-A414-31,TCGA-HU-A4H2-01A-11R-A251-31,TCGA-BR-8077-01A-11R-2343-13,TCGA-RD-A8MV-01A-11R-A36D-31,TCGA-D7-A6EY-01A-21R-A31P-31,TCGA-RD-A8N1-01A-12R-A36D-31,TCGA-VQ-A8PF-01A-11R-A414-31,TCGA-BR-8371-01A-11R-2343-13,TCGA-VQ-A8E2-01A-11R-A36D-31,TCGA-IN-A7NU-01A-22R-A354-31,TCGA-VQ-AA6J-01A-11R-A414-31,TCGA-VQ-A8DT-01A-11R-A36D-31,TCGA-D7-8576-01A-11R-2343-13,TCGA-VQ-AA6I-01A-11R-A414-31,TCGA-3M-AB47-01A-22R-A414-31,TCGA-BR-8677-01A-11R-2402-13,TCGA-BR-8686-01A-11R-2402-13,TCGA-RD-A8MW-01A-11R-A36D-31,TCGA-BR-8592-01A-11R-2402-13,TCGA-VQ-A91X-01A-12R-A414-31,TCGA-VQ-A927-01A-12R-A414-31,TCGA-R5-A805-01A-11R-A36D-31,TCGA-RD-A8N0-01A-12R-A36D-31,TCGA-BR-8367-01A-11R-2343-13,TCGA-F1-A448-01A-11R-A24K-31,TCGA-BR-A4QL-01A-31R-A251-31,TCGA-BR-8058-01A-31R-2343-13,TCGA-VQ-A91S-01A-11R-A414-31,TCGA-BR-A4J8-01A-11R-A251-31,TCGA-BR-8369-01A-11R-2343-13,TCGA-BR-6709-01A-11R-1884-13,TCGA-VQ-AA64-01A-11R-A414-31,TCGA-D7-8570-01A-11R-2343-13,TCGA-HU-8608-01A-11R-2402-13,TCGA-BR-A4PF-01A-11R-A251-31,TCGA-BR-6705-01A-12R-1884-13,TCGA-IP-7968-01A-11R-2203-13,TCGA-D7-A4YY-01A-11R-A251-31,TCGA-BR-A44U-01A-11R-A36D-31,TCGA-HF-A5NB-01A-11R-A31P-31,TCGA-HU-8243-01A-11R-2343-13,TCGA-BR-A4CR-01A-11R-A24K-31,TCGA-HU-A4H3-01A-21R-A251-31,TCGA-BR-8380-01A-11R-2343-13,TCGA-BR-8372-01A-11R-2343-13,TCGA-BR-8362-01A-11R-2343-13,TCGA-BR-8361-01A-11R-2343-13,TCGA-B7-A5TI-01A-11R-A31P-31,TCGA-BR-8382-01A-11R-2402-13,TCGA-VQ-AA6A-01A-11R-A414-31,TCGA-FP-7916-01A-11R-2203-13,TCGA-BR-8590-01A-11R-2402-13,TCGA-BR-8080-01A-11R-2343-13,TCGA-HU-A4GQ-01A-11R-A36D-31,TCGA-VQ-A91Y-01A-11R-A414-31,TCGA-HU-A4GX-01A-12R-A251-31,TCGA-HU-A4GJ-01A-11R-A251-31,TCGA-BR-8687-01A-11R-2402-13,TCGA-ZQ-A9CR-01A-11R-A39E-31,TCGA-BR-8364-01A-11R-2343-13,TCGA-BR-8485-01A-11R-2402-13,TCGA-VQ-A8PD-01A-11R-A414-31,TCGA-VQ-AA68-01A-11R-A414-31,TCGA-BR-8384-01A-21R-2402-13,TCGA-VQ-A91D-01A-11R-A414-31,TCGA-VQ-AA6K-01A-11R-A414-31,TCGA-BR-8296-01A-11R-2343-13,TCGA-HU-A4H0-01A-11R-A251-31,TCGA-BR-A4CS-01A-11R-A24K-31,TCGA-BR-8297-01A-12R-2343-13,TCGA-FP-7998-01A-11R-2203-13,TCGA-BR-8284-01A-11R-2343-13,TCGA-FP-A8CX-01A-11R-A36D-31,TCGA-VQ-A94O-01A-11R-A414-31,TCGA-BR-8591-01A-11R-2402-13,TCGA-CG-4476-01A-01R-1157-13,TCGA-VQ-A91N-01A-11R-A414-31,TCGA-VQ-A8PP-01A-21R-A414-31,TCGA-CG-5732-01A-11R-1602-13,TCGA-CG-5719-01A-11R-1602-13,TCGA-CG-4469-01A-01R-1157-13,TCGA-CG-4460-01A-01R-1157-13,TCGA-R5-A7O7-01A-11R-A33Y-31,TCGA-VQ-A8PM-01A-21R-A414-31,TCGA-BR-A453-01A-11R-A24K-31,TCGA-BR-8680-01A-11R-2402-13,TCGA-VQ-A8E7-01B-11R-A414-31,TCGA-IN-A7NR-01A-11R-A354-31,TCGA-CD-8529-01A-11R-2343-13,TCGA-VQ-A8DZ-01A-11R-A36D-31,TCGA-BR-7957-01A-11R-2203-13,TCGA-VQ-A91Q-01A-12R-A414-31,TCGA-D7-A748-01A-12R-A32D-31,TCGA-R5-A7ZI-01A-11R-A354-31,TCGA-CG-4440-01A-01R-1157-13,TCGA-R5-A7ZF-01A-11R-A354-31,TCGA-HF-7133-01A-11R-2055-13,TCGA-BR-7717-01A-11R-2055-13,TCGA-CG-4301-01A-01R-1157-13,TCGA-VQ-A8PJ-01A-11R-A414-31,TCGA-RD-A7BT-01A-11R-A33Y-31,TCGA-VQ-A922-01A-11R-A414-31,TCGA-BR-7196-01A-11R-2055-13,TCGA-CG-5724-01A-11R-1602-13,TCGA-VQ-A8PQ-01A-11R-A414-31,TCGA-CG-4438-01A-01R-1157-13,TCGA-CG-5721-01A-11R-1602-13,TCGA-CG-4462-01A-01R-1157-13,TCGA-BR-8289-01A-11R-2343-13,TCGA-CG-5716-01A-21R-1802-13,TCGA-VQ-A928-01A-11R-A414-31
,,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIA,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIB,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIA,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIB,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IIIC,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV
RBM8A,RPL28,0.488265,0.548367,0.546135,0.480015,0.418637,0.571351,0.467528,0.471259,0.565192,0.792408,0.490763,1.052095,0.518010,1.110798,0.645929,0.736811,0.454678,0.475466,0.822424,,0.758877,1.062127,0.470510,0.680151,0.859036,0.430585,0.490013,0.523766,0.622228,0.995079,1.052501,1.103513,0.895576,0.580421,0.577775,0.473632,0.467854,0.548640,1.104895,0.940677,0.493031,0.481436,0.933392,0.481029,0.610970,0.973118,0.758811,0.459495,0.294874,0.560868,0.568794,0.548671,0.505738,0.494209,0.468907,0.561271,0.767801,0.821159,0.464310,0.479402,0.931130,0.651654,0.781206,0.452972,0.620719,0.875006,0.645832,0.635545,0.927028,0.488223,0.582363,0.453384,0.624134,0.758752,0.409103,0.479734,1.001804,1.056256,0.505394,0.378259,0.462539,0.450230,0.541396,0.460621,0.488997,0.482049,1.067620,0.679012,0.659121,0.760581,,0.625399,0.449163,0.624656,0.677045,0.488394,0.914766,0.456496,0.298367,0.481423,0.461063,0.416519,0.581146,0.594677,0.354199,0.876678,0.453494,0.467737,0.384201,0.672633,0.687198,0.786455,0.733155,,0.488506,0.819269,,0.462738,0.954061,0.461816,0.666239,0.497570,0.465072,0.486647,1.055481,0.473315,0.463499,0.678491,0.561356,0.461537,0.881261,0.463097,0.804195,0.667140,0.481285,0.903827,0.482430,0.858558,0.593305,0.542163,0.925932,0.740513,0.591571,0.484031,1.015554,0.327141,0.473137,1.016967,0.325044,0.547832,0.611109,0.852995,0.559774,0.583986,0.303557,0.859532,0.796305,1.088275,0.399618,0.469255,0.475796,0.898906,0.589751,0.514647,0.796206,0.403089,0.319700,0.506600,0.541634,0.528182,0.726360,0.477521,0.983998,0.472827,0.491605,0.512695,0.437548,1.009712,0.745193,0.447227,0.744492,0.489304,0.477319,,0.857867,1.070886,0.982953,0.473567,0.485870,0.437853,0.643117,0.434006,0.472668,0.909348,0.491196,0.375561,0.482280,0.466983,0.495850,0.400864,0.459635,0.586407,0.478165,0.520230,0.874165,0.533787,0.561600,0.494732,0.929832,0.484843,1.129015,0.525363,0.255446,0.475098,1.057921,0.740899,0.924456,0.858644,0.390809,0.999426,0.540098,0.756804,0.629299,0.646582,0.353750,0.453159,0.457374,0.473728,0.468564,0.455923,0.463852,0.422927,0.487346,0.674072,0.401972,0.481374,,0.402811,0.715745,0.352708,0.447205,0.518193,0.911629,0.485303,0.521776,0.570026,0.643830,0.723582,1.029036,0.452956,0.941660,0.467336,0.571096,0.530282,0.453346,0.471408,,0.672539,0.486838,0.729571,0.975627,0.522735,0.599593,0.540960,0.859335,0.456298,0.756037,0.479194,0.538394,0.647032,0.440375,0.462668,1.275050,0.646386,0.715396,0.443343,0.681586,1.135606,1.055713,0.420740,0.868553,0.453510,0.873539,0.782876,0.432643,0.851234,0.402293,1.126084,1.078698,0.459428,0.406510,0.444286,0.619809,0.506187,0.452307,0.467889
RBM8A,RPL35,0.670465,0.618335,1.348268,0.608936,0.530630,0.492518,0.581730,0.750348,0.594540,1.364704,0.564925,0.490139,0.562351,1.474791,0.669887,1.144629,,0.493963,1.111011,,0.678612,1.036141,0.552332,0.908731,1.066606,0.609293,0.635695,0.614405,0.612989,0.932653,1.401720,1.174521,0.762301,0.539461,0.559871,0.569781,0.575189,0.553438,1.218877,0.614016,0.556517,0.572199,0.572363,0.541745,0.659765,0.531812,0.546886,0.556923,0.583797,0.691266,0.781013,0.579806,0.699954,0.659508,0.609247,0.700811,0.962646,0.567108,0.809676,0.598464,0.793001,0.832141,1.049540,0.611785,0.540188,0.560062,0.689877,0.725176,0.327740,0.539113,0.558546,0.584759,1.046803,0.560263,1.118386,0.602524,0.967882,0.630700,0.717209,0.580944,0.572900,0.771490,0.794201,0.567791,1.202076,0.963083,0.729195,0.736081,0.429531,0.716386,,0.642137,0.734096,0.612828,0.852925,0.551642,1.245745,0.544889,0.413240,0.602136,0.685980,0.533071,1.155762,1.384977,0.553288,1.154082,0.650268,0.661326,0.391594,0.603138,0.550424,1.227648,0.967358,0.522619,0.601663,1.073525,0.904356,0.581180,1.262324,0.571297,0.556937,0.959869,0.606796,0.721600,1.168976,0.605102,0.612884,0.854501,0.585167,0.511598,0.742608,0.557631,0.935164,1.052012,0.603256,0.999602,1.079155,1.090504,0.809186,0.461737,0.698277,0.876855,0.647570,0.755844,1.430219,0.570448,0.673846,1.188400,0.599159,0.656214,0.578152,0.588613,1.033917,0.794272,0.786476,1.029941,0.378691,0.594782,0.401451,0.558155,0.745654,1.253568,0.528066,0.534935,0.900376,0.528481,0.806948,0.633732,0.563041,0.655922,0.908330,0.697337,1.254608,0.617560,0.537893,0.626676,1.065868,1.198348,1.255123,0.570734,0.611104,0.616410,0.469971,,1.072919,1.345902,0.696604,0.669354,0.664698,0.627439,0.584729,0.565268,0.668553,0.647659,0.572707,0.863838,0.584181,0.613779,0.874027,0.555674,0.640740,0.591388,0.591173,0.556895,0.755042,0.730377,0.527467,0.628871,0.721957,0.417691,1.428086,0.643162,0.426421,0.998647,0.538314,0.622743,1.149142,0.745028,0.478059,1.052176,1.171772,0.856376,0.659108,1.097404,0.529878,0.978416,0.500926,0.794879,0.593902,0.629923,0.559118,0.818194,0.865281,0.617430,0.752762,0.548074,0.275049,0.698240,0.831055,0.368505,0.511537,0.566595,0.633222,1.449209,0.817880,0.674348,0.860838,1.081216,0.960149,0.517502,0.969173,0.577017,0.598678,0.758376,0.545265,0.571543,,0.564124,1.361998,0.536247,1.357804,0.972722,0.940286,0.609329,0.583130,1.281444,0.822700,0.575357,0.711234,0.566404,0.624230,1.098700,0.676598,0.748384,0.886810,0.558711,1.052714,1.083049,1.299078,0.794290,1.195920,0.556991,0.970388,0.831785,0.774656,1.143649,0.531811,0.711178,1.288432,0.737482,1.138508,0.576050,1.058221,0.562715,0.560460,0.612098
RBM8A,RPL37A,0.949446,0.540247,0.617204,0.503786,0.581987,0.430179,0.520656,0.566018,0.507191,0.910869,0.490420,0.475569,0.682187,0.549244,0.898467,0.858862,0.409863,0.592324,0.645760,,0.612041,0.534697,0.577615,0.619886,0.600881,0.529619,0.566881,0.612952,0.588319,0.577537,0.826554,0.817035,0.674056,0.580225,0.558341,0.549209,0.513254,0.445263,0.905496,0.857064,0.559545,0.549888,0.452059,0.802046,0.912179,0.623120,0.529007,0.556723,0.540759,0.478044,0.366671,0.569780,0.573049,0.449165,0.546167,0.566540,0.748909,0.554889,0.914761,0.593295,0.745890,0.734877,0.915811,0.545672,0.966625,0.609920,0.677628,0.466914,0.651973,0.462306,0.522008,0.751094,0.596167,0.570879,0.897017,0.557201,0.574715,0.949103,0.639621,0.560442,0.552436,0.578520,0.663856,0.502398,0.804331,0.742758,0.914603,0.753301,0.342006,0.545701,,0.557497,0.548117,0.500751,0.764559,0.610322,0.520270,0.612342,0.343767,0.711349,0.582779,0.760218,0.812799,0.875071,0.447795,0.823915,0.422352,0.521186,0.536305,0.812408,0.673184,0.808217,0.601473,0.584747,0.561467,0.903046,0.794978,0.584460,0.560856,0.532959,0.595824,0.622762,0.534654,0.443422,0.891410,0.534277,0.489011,0.505655,0.614953,0.550239,0.700031,0.622819,0.496582,0.522984,0.577914,0.811549,0.483552,0.562423,0.709984,0.844885,0.717698,0.674468,0.522293,0.514980,0.781587,0.432619,0.585406,0.666032,0.644947,0.595314,0.643886,0.515782,0.914106,0.558373,0.487118,0.901113,0.391297,0.619086,0.278778,0.643344,0.453497,0.929545,0.680839,0.671850,0.605066,0.611993,0.505348,0.475646,0.542487,0.570862,0.566974,0.834515,0.578653,0.522076,0.909721,0.556213,0.591716,0.790256,0.867078,0.562215,0.619894,0.533671,0.630413,,0.705608,0.838849,0.490854,0.518591,0.724317,0.506279,0.794713,0.507719,0.332380,0.630834,0.642332,0.762392,0.520633,0.538746,0.949577,0.541450,0.718851,0.475498,0.607115,0.444907,0.506336,0.577868,0.567458,0.586071,0.924306,0.541263,0.879217,0.918893,0.394568,0.627693,0.672541,0.742453,0.651378,0.583505,0.488578,0.550671,0.546970,0.798310,0.381194,0.504340,0.584010,0.530661,0.544245,0.486990,0.564483,0.589313,0.328773,0.612729,0.877587,0.921246,0.597125,0.670521,,0.756722,0.810847,,0.544564,0.506861,0.815476,0.529373,0.593492,0.489932,0.753629,0.997110,1.035072,0.620072,0.512445,0.651419,0.597878,0.809161,0.503767,0.535041,,0.789073,0.492627,0.529147,0.867391,0.535458,0.698164,0.543024,0.968706,0.530856,0.683442,0.523564,0.580382,0.676785,0.590832,0.495320,1.017030,0.831688,0.404725,0.640869,0.476394,0.532213,0.655131,0.608859,0.921016,0.451872,0.687449,0.589659,0.465913,0.758319,0.519541,0.802201,0.875235,0.794092,0.617247,0.568723,0.799696,0.443787,0.538255,0.525240
